sensor_id,sensor_type,value,unit,timestamp
TEMP_001,temperature,62.46,C,2026-01-24T15:45:22.274725
HUM_001,humidity,97.89,%,2026-01-24T15:45:22.277897
PRESS_001,pressure,61.92,hPa,2026-01-24T15:45:22.281448
TEMP_001,temperature,64.11,C,2026-01-24T15:45:23.286912
HUM_001,humidity,93.52,%,2026-01-24T15:45:23.290191
PRESS_001,pressure,62.85,hPa,2026-01-24T15:45:23.294841
TEMP_001,temperature,13.96,C,2026-01-24T15:45:24.300310
HUM_001,humidity,55.54,%,2026-01-24T15:45:24.302526
PRESS_001,pressure,85.07,hPa,2026-01-24T15:45:24.304507
TEMP_001,temperature,72.21,C,2026-01-24T15:45:25.306849
HUM_001,humidity,54.68,%,2026-01-24T15:45:25.308619
PRESS_001,pressure,54.58,hPa,2026-01-24T15:45:25.311873
TEMP_001,temperature,99.6,C,2026-01-24T15:45:26.315920
HUM_001,humidity,60.53,%,2026-01-24T15:45:26.317404
PRESS_001,pressure,99.19,hPa,2026-01-24T15:45:26.318418
TEMP_001,temperature,60.13,C,2026-01-24T15:45:27.319957
HUM_001,humidity,93.35,%,2026-01-24T15:45:27.323489
PRESS_001,pressure,86.78,hPa,2026-01-24T15:45:27.326563
TEMP_001,temperature,60.42,C,2026-01-24T15:45:28.329910
HUM_001,humidity,62.04,%,2026-01-24T15:45:28.333479
PRESS_001,pressure,56.18,hPa,2026-01-24T15:45:28.335151
TEMP_001,temperature,22.34,C,2026-01-24T15:45:29.337895
HUM_001,humidity,53.75,%,2026-01-24T15:45:29.339142
PRESS_001,pressure,57.98,hPa,2026-01-24T15:45:29.339958
TEMP_001,temperature,99.06,C,2026-01-24T15:45:30.341646
HUM_001,humidity,74.63,%,2026-01-24T15:45:30.346582
PRESS_001,pressure,70.51,hPa,2026-01-24T15:45:30.350211
TEMP_001,temperature,61.57,C,2026-01-24T15:45:31.353229
HUM_001,humidity,60.69,%,2026-01-24T15:45:31.358736
PRESS_001,pressure,11.52,hPa,2026-01-24T15:45:31.364289
TEMP_001,temperature,67.94,C,2026-01-24T15:45:32.369094
HUM_001,humidity,84.74,%,2026-01-24T15:45:32.373683
PRESS_001,pressure,23.71,hPa,2026-01-24T15:45:32.376901
TEMP_001,temperature,88.97,C,2026-01-24T15:45:33.380151
HUM_001,humidity,80.09,%,2026-01-24T15:45:33.384453
PRESS_001,pressure,81.69,hPa,2026-01-24T15:45:33.388446
TEMP_001,temperature,27.79,C,2026-01-24T15:45:34.392131
HUM_001,humidity,34.78,%,2026-01-24T15:45:34.395755
PRESS_001,pressure,58.07,hPa,2026-01-24T15:45:34.399616
TEMP_001,temperature,94.78,C,2026-01-24T15:45:35.402294
HUM_001,humidity,38.1,%,2026-01-24T15:45:35.407898
PRESS_001,pressure,92.7,hPa,2026-01-24T15:45:35.411325
TEMP_001,temperature,99.3,C,2026-01-24T15:45:36.417097
HUM_001,humidity,68.84,%,2026-01-24T15:45:36.421089
PRESS_001,pressure,24.01,hPa,2026-01-24T15:45:36.423849
TEMP_001,temperature,66.52,C,2026-01-24T15:45:37.427532
HUM_001,humidity,86.76,%,2026-01-24T15:45:37.431300
PRESS_001,pressure,51.41,hPa,2026-01-24T15:45:37.434384
TEMP_001,temperature,81.06,C,2026-01-24T15:45:38.437209
HUM_001,humidity,52.56,%,2026-01-24T15:45:38.439807
PRESS_001,pressure,58.33,hPa,2026-01-24T15:45:38.442316
TEMP_001,temperature,94.89,C,2026-01-24T15:45:39.445201
HUM_001,humidity,95.94,%,2026-01-24T15:45:39.448139
PRESS_001,pressure,67.43,hPa,2026-01-24T15:45:39.450448
TEMP_001,temperature,73.38,C,2026-01-24T15:45:40.453022
HUM_001,humidity,71.09,%,2026-01-24T15:45:40.455948
PRESS_001,pressure,63.62,hPa,2026-01-24T15:45:40.458728
TEMP_001,temperature,91.94,C,2026-01-24T15:45:41.461680
HUM_001,humidity,13.7,%,2026-01-24T15:45:41.463683
PRESS_001,pressure,26.47,hPa,2026-01-24T15:45:41.464962
TEMP_001,temperature,92.6,C,2026-01-24T15:45:42.466451
HUM_001,humidity,35.3,%,2026-01-24T15:45:42.469095
PRESS_001,pressure,17.33,hPa,2026-01-24T15:45:42.471570
TEMP_001,temperature,19.92,C,2026-01-24T15:45:43.474095
HUM_001,humidity,91.46,%,2026-01-24T15:45:43.476780
PRESS_001,pressure,16.54,hPa,2026-01-24T15:45:43.480211
TEMP_001,temperature,22.42,C,2026-01-24T15:45:44.484168
HUM_001,humidity,21.4,%,2026-01-24T15:45:44.486773
PRESS_001,pressure,95.49,hPa,2026-01-24T15:45:44.489186
TEMP_001,temperature,80.72,C,2026-01-24T15:45:45.492707
HUM_001,humidity,60.22,%,2026-01-24T15:45:45.495775
PRESS_001,pressure,33.17,hPa,2026-01-24T15:45:45.499042
TEMP_001,temperature,87.19,C,2026-01-24T15:45:46.502476
HUM_001,humidity,14.89,%,2026-01-24T15:45:46.505168
PRESS_001,pressure,96.74,hPa,2026-01-24T15:45:46.507499
TEMP_001,temperature,43.3,C,2026-01-24T15:45:47.510279
HUM_001,humidity,54.45,%,2026-01-24T15:45:47.514240
PRESS_001,pressure,86.07,hPa,2026-01-24T15:45:47.516411
TEMP_001,temperature,31.79,C,2026-01-24T15:45:48.519262
HUM_001,humidity,61.96,%,2026-01-24T15:45:48.522421
PRESS_001,pressure,56.83,hPa,2026-01-24T15:45:48.525219
TEMP_001,temperature,68.37,C,2026-01-24T15:45:49.528502
HUM_001,humidity,27.03,%,2026-01-24T15:45:49.530511
PRESS_001,pressure,96.25,hPa,2026-01-24T15:45:49.532352
TEMP_001,temperature,22.66,C,2026-01-25T17:23:14.408899
HUM_001,humidity,22.69,%,2026-01-25T17:23:14.411758
PRES_001,pressure,68.56,hPa,2026-01-25T17:23:14.413344
TEMP_001,temperature,50.81,C,2026-01-25T17:23:15.425859
HUM_001,humidity,89.97,%,2026-01-25T17:23:15.434036
PRES_001,pressure,59.88,hPa,2026-01-25T17:23:15.435846
TEMP_001,temperature,91.73,C,2026-01-25T17:23:16.438318
HUM_001,humidity,21.76,%,2026-01-25T17:23:16.441072
PRES_001,pressure,37.57,hPa,2026-01-25T17:23:16.443090
TEMP_001,temperature,35.79,C,2026-01-25T17:23:17.445636
HUM_001,humidity,90.82,%,2026-01-25T17:23:17.448107
PRES_001,pressure,98.61,hPa,2026-01-25T17:23:17.450354
TEMP_001,temperature,85.59,C,2026-01-25T17:23:18.453561
HUM_001,humidity,70.73,%,2026-01-25T17:23:18.458352
PRES_001,pressure,81.65,hPa,2026-01-25T17:23:18.463999
TEMP_001,temperature,68.04,C,2026-01-25T17:23:19.467854
HUM_001,humidity,72.88,%,2026-01-25T17:23:19.471822
PRES_001,pressure,45.62,hPa,2026-01-25T17:23:19.474362
TEMP_001,temperature,36.84,C,2026-01-25T17:23:20.479177
HUM_001,humidity,11.04,%,2026-01-25T17:23:20.483832
PRES_001,pressure,24.27,hPa,2026-01-25T17:23:20.486549
TEMP_001,temperature,54.38,C,2026-01-25T17:23:21.490514
HUM_001,humidity,78.88,%,2026-01-25T17:23:21.493656
PRES_001,pressure,19.15,hPa,2026-01-25T17:23:21.496232
TEMP_001,temperature,98.14,C,2026-01-25T17:23:22.500024
HUM_001,humidity,50.85,%,2026-01-25T17:23:22.504246
PRES_001,pressure,79.11,hPa,2026-01-25T17:23:22.506929
TEMP_001,temperature,18.75,C,2026-01-25T17:23:23.510970
HUM_001,humidity,49.55,%,2026-01-25T17:23:23.514514
PRES_001,pressure,73.08,hPa,2026-01-25T17:23:23.518624
TEMP_001,temperature,83.81,C,2026-01-25T17:23:24.521143
HUM_001,humidity,89.39,%,2026-01-25T17:23:24.524486
PRES_001,pressure,99.04,hPa,2026-01-25T17:23:24.529510
TEMP_001,temperature,37.55,C,2026-01-25T17:23:25.533967
HUM_001,humidity,98.17,%,2026-01-25T17:23:25.537794
PRES_001,pressure,61.44,hPa,2026-01-25T17:23:25.541511
TEMP_001,temperature,24.73,C,2026-01-25T17:23:26.544451
HUM_001,humidity,58.45,%,2026-01-25T17:23:26.547481
PRES_001,pressure,42.43,hPa,2026-01-25T17:23:26.550488
TEMP_001,temperature,17.56,C,2026-01-25T17:23:27.555834
HUM_001,humidity,72.14,%,2026-01-25T17:23:27.558356
PRES_001,pressure,92.81,hPa,2026-01-25T17:23:27.560369
TEMP_001,temperature,23.01,C,2026-01-25T17:23:28.563182
HUM_001,humidity,60.87,%,2026-01-25T17:23:28.566826
PRES_001,pressure,26.88,hPa,2026-01-25T17:23:28.569102
TEMP_001,temperature,68.87,C,2026-01-25T17:23:29.575595
HUM_001,humidity,25.4,%,2026-01-25T17:23:29.580219
PRES_001,pressure,74.66,hPa,2026-01-25T17:23:29.582516
TEMP_001,temperature,89.01,C,2026-01-26T19:47:00.319382
HUM_001,humidity,49.15,%,2026-01-26T19:47:00.320836
PRES_001,pressure,49.53,hPa,2026-01-26T19:47:00.321978
TEMP_001,temperature,16.47,C,2026-01-26T19:47:01.324175
HUM_001,humidity,91.52,%,2026-01-26T19:47:01.326357
PRES_001,pressure,88.17,hPa,2026-01-26T19:47:01.328238
TEMP_001,temperature,32.27,C,2026-01-26T19:47:02.330208
HUM_001,humidity,13.56,%,2026-01-26T19:47:02.334470
PRES_001,pressure,46.19,hPa,2026-01-26T19:47:02.336240
TEMP_001,temperature,57.01,C,2026-01-26T19:47:03.338692
HUM_001,humidity,72.75,%,2026-01-26T19:47:03.341811
PRES_001,pressure,28.4,hPa,2026-01-26T19:47:03.344209
TEMP_001,temperature,70.84,C,2026-01-26T19:47:04.348476
HUM_001,humidity,33.76,%,2026-01-26T19:47:04.352225
PRES_001,pressure,43.63,hPa,2026-01-26T19:47:04.354736
